reading_score,listening_score,writing_score,speaking_score,age,gap_year,marital_status,visa_type,label
5.8,4.3,3.8,5.7,22,3,single,STUDENT,0
6.5,8.3,8.2,6.0,23,0,single,STUDENT,1
6.9,5.9,6.9,6.6,47,7,single,WORK,0
5.6,5.7,6.3,6.9,33,7,married,STUDENT,0
6.0,6.5,6.6,5.4,50,2,single,STUDENT,1
6.6,7.0,4.9,6.0,54,1,divorced,DEPENDENT,0
5.7,7.1,5.2,5.4,38,7,divorced,STUDENT,0
5.7,6.3,7.0,8.4,41,4,single,STUDENT,0
7.9,6.7,8.7,7.4,23,1,single,STUDENT,1
6.1,8.5,8.3,5.5,39,3,single,STUDENT,0
6.3,7.9,5.9,5.7,37,1,single,WORK,0
5.1,6.6,6.1,7.0,58,7,divorced,WORK,0
7.4,6.4,6.3,9.0,23,6,married,WORK,0
7.8,5.9,4.7,6.7,45,0,married,WORK,0
6.1,7.8,6.6,7.4,59,3,married,WORK,1
7.3,6.1,6.2,7.0,57,5,single,WORK,0
5.5,6.9,8.6,5.4,36,7,single,STUDENT,0
5.4,6.5,5.6,7.7,45,5,divorced,WORK,0
6.9,5.7,6.0,7.1,22,2,single,WORK,0
6.7,7.8,5.5,7.6,28,1,married,DEPENDENT,1
6.4,4.3,6.0,7.5,43,7,married,STUDENT,0
6.3,6.1,6.1,5.6,35,1,married,WORK,0
8.1,7.0,6.9,6.9,44,2,single,STUDENT,1
6.2,5.8,7.0,5.5,18,7,single,WORK,0
7.4,6.1,5.9,5.3,38,2,married,STUDENT,1
6.8,6.7,7.2,5.9,30,6,single,STUDENT,0
7.2,8.4,6.4,5.5,55,5,married,DEPENDENT,1
6.8,6.4,6.3,5.6,42,7,married,WORK,0
7.2,6.1,7.0,6.2,59,2,married,DEPENDENT,1
7.4,6.0,7.2,6.1,31,7,married,STUDENT,0
6.3,6.2,6.5,6.2,42,5,married,WORK,0
7.6,5.6,6.9,7.4,39,0,divorced,STUDENT,1
7.7,6.6,5.9,4.8,28,7,married,WORK,0
5.3,7.3,6.4,5.0,26,4,single,WORK,0
5.4,6.4,5.5,6.0,39,7,married,DEPENDENT,1
7.1,7.7,5.7,6.9,21,5,married,STUDENT,0
5.6,5.6,6.9,6.5,25,6,single,DEPENDENT,0
7.3,6.7,6.3,4.9,46,4,single,DEPENDENT,0
5.0,7.3,6.6,5.0,55,0,single,STUDENT,0
7.6,5.9,7.0,9.0,58,0,married,STUDENT,1
6.6,7.8,6.7,7.5,56,4,married,STUDENT,0
7.3,6.4,6.1,5.4,36,3,married,STUDENT,0
7.3,5.3,7.6,5.5,45,1,married,WORK,0
6.1,7.1,7.6,7.1,53,1,single,DEPENDENT,0
7.4,6.6,4.8,5.6,58,6,single,WORK,0
7.3,6.8,6.6,9.0,26,0,single,WORK,1
7.8,7.3,7.8,6.6,47,7,married,STUDENT,0
4.0,8.1,6.3,5.7,54,4,married,WORK,0
7.8,6.4,6.3,5.9,35,3,married,STUDENT,0
7.5,5.8,7.9,6.2,20,2,married,STUDENT,1
4.7,5.8,4.7,7.7,53,3,married,DEPENDENT,1
6.2,5.3,5.5,6.1,46,1,married,STUDENT,0
5.9,6.3,4.8,5.7,55,7,married,WORK,0
8.4,6.0,6.5,5.4,41,2,single,STUDENT,1
6.4,6.3,6.4,7.2,23,2,single,STUDENT,1
6.5,6.4,5.1,5.0,52,6,single,STUDENT,0
5.6,6.6,5.4,6.8,34,4,divorced,DEPENDENT,0
6.5,6.9,5.2,6.6,40,2,single,WORK,0
5.6,7.1,8.5,6.6,38,3,married,WORK,1
6.8,5.3,6.0,7.1,34,2,married,WORK,0
8.5,7.6,6.1,5.2,45,4,single,WORK,0
6.8,7.0,7.6,6.6,38,5,married,WORK,0
5.8,7.4,6.4,5.3,49,5,married,STUDENT,0
5.6,5.8,5.9,7.9,28,7,single,STUDENT,0
7.7,6.2,6.9,8.0,52,7,divorced,WORK,0
5.5,5.7,5.4,5.7,22,4,divorced,STUDENT,0
7.4,7.3,6.6,7.6,38,7,married,STUDENT,0
6.7,8.2,6.4,6.1,54,0,single,STUDENT,1
6.7,6.6,5.9,6.8,40,0,married,STUDENT,1
7.0,4.6,7.6,8.4,49,1,single,STUDENT,1
6.9,7.3,6.4,4.9,19,1,married,STUDENT,1
6.9,6.2,4.9,5.7,44,5,single,WORK,0
7.1,5.3,6.6,6.8,36,0,married,STUDENT,1
7.2,6.9,7.8,6.3,37,7,single,STUDENT,0
5.7,5.5,7.0,4.8,21,4,married,STUDENT,0
5.4,6.2,5.5,7.4,32,0,single,WORK,0
6.2,6.7,7.3,5.6,46,3,single,WORK,0
7.2,6.0,7.5,5.8,32,2,single,STUDENT,1
6.9,6.4,6.8,5.9,43,4,single,DEPENDENT,0
7.0,5.7,6.7,6.6,28,0,married,WORK,1
6.3,4.8,6.5,5.5,56,3,married,DEPENDENT,1
6.8,5.7,6.2,6.8,54,4,single,STUDENT,0
7.4,6.2,7.3,7.8,53,4,married,WORK,0
7.2,6.3,6.9,5.9,23,3,single,STUDENT,0
9.0,5.5,7.5,7.0,27,4,single,WORK,0
6.3,5.5,3.9,6.3,34,3,married,WORK,0
7.0,6.5,8.5,6.7,37,6,married,STUDENT,0
6.9,6.5,7.2,7.1,51,4,single,WORK,0
7.5,5.8,4.3,6.8,29,7,married,STUDENT,0
7.5,6.6,7.0,8.4,25,0,married,WORK,1
6.0,6.1,6.8,7.1,46,1,married,STUDENT,1
6.7,6.1,6.7,6.5,22,7,divorced,STUDENT,0
5.2,5.9,6.1,6.2,43,0,married,WORK,0
6.8,6.1,5.2,8.1,45,2,single,WORK,1
6.3,7.0,7.5,6.4,58,5,single,STUDENT,0
5.4,6.3,6.5,7.1,32,7,single,STUDENT,0
6.3,6.1,6.3,7.9,27,5,single,WORK,0
6.3,5.3,6.9,6.9,45,3,divorced,STUDENT,0
4.9,7.0,8.5,5.1,55,5,single,STUDENT,0
7.0,7.3,7.9,5.5,33,1,divorced,STUDENT,1
6.9,7.0,5.4,5.8,56,0,single,STUDENT,1
6.5,8.1,7.1,6.3,59,6,married,WORK,0
7.4,6.0,6.0,6.8,54,2,single,STUDENT,1
5.7,6.8,5.7,4.9,44,1,divorced,STUDENT,0
5.9,7.8,7.9,5.9,52,2,divorced,STUDENT,1
7.7,5.9,6.9,4.9,44,1,married,WORK,0
6.5,5.5,6.1,7.2,46,3,married,STUDENT,0
7.0,9.0,5.7,7.5,24,6,married,STUDENT,0
7.9,6.0,5.1,6.7,25,0,single,WORK,0
6.6,6.2,5.1,5.6,52,4,single,WORK,0
7.4,7.2,7.6,6.0,51,0,single,STUDENT,1
6.9,6.3,7.5,4.3,58,0,married,STUDENT,1
7.9,5.7,5.9,5.9,38,4,single,STUDENT,0
7.6,5.6,5.4,8.3,30,6,married,DEPENDENT,1
5.9,7.2,5.9,6.1,53,6,single,DEPENDENT,0
5.3,6.6,5.2,4.7,59,1,single,WORK,0
4.8,6.6,6.2,8.8,34,3,married,STUDENT,0
6.7,5.4,7.2,7.5,53,0,married,WORK,1
7.6,7.5,7.3,6.4,40,1,married,WORK,1
7.3,5.9,5.9,5.4,23,3,divorced,DEPENDENT,0
7.6,7.4,7.1,6.6,18,0,single,DEPENDENT,0
7.2,7.3,6.2,6.4,52,7,married,STUDENT,0
6.6,9.0,6.8,8.3,57,2,single,WORK,1
5.5,6.5,6.7,6.7,48,3,married,STUDENT,0
6.5,7.9,6.3,6.0,20,1,married,STUDENT,1
6.6,5.9,5.5,5.4,44,3,married,DEPENDENT,1
5.9,8.0,6.0,4.8,36,5,single,STUDENT,0
7.0,6.3,7.9,7.6,32,6,single,STUDENT,0
6.1,6.8,5.5,5.5,27,0,divorced,STUDENT,0
5.2,6.6,8.0,5.9,43,3,single,STUDENT,0
5.0,5.8,6.4,5.1,33,1,single,STUDENT,0
6.6,6.9,6.4,6.7,37,3,single,WORK,1
8.5,7.3,5.6,8.0,44,1,single,STUDENT,1
7.3,9.0,8.7,5.5,39,2,married,WORK,1
8.2,7.2,5.6,8.2,21,6,single,STUDENT,0
6.4,7.0,6.1,6.9,49,5,divorced,STUDENT,0
6.5,6.3,6.7,6.1,42,3,married,STUDENT,0
3.7,7.1,8.5,7.0,37,4,single,WORK,0
6.9,7.1,5.8,5.6,51,7,single,STUDENT,0
7.0,5.2,4.8,7.8,27,1,married,STUDENT,1
6.6,7.2,7.0,5.3,18,6,married,WORK,0
6.3,5.9,6.7,7.3,42,6,single,WORK,0
6.8,7.2,6.3,8.0,55,1,single,STUDENT,1
6.9,6.0,6.5,3.8,28,1,single,WORK,0
5.8,6.5,7.3,6.5,32,0,married,STUDENT,1
5.2,7.3,6.2,6.2,22,0,single,STUDENT,1
6.6,6.7,5.8,6.8,22,0,single,WORK,0
9.0,7.7,5.1,5.2,41,0,married,STUDENT,1
7.1,7.1,5.1,7.9,56,7,married,STUDENT,0
7.6,4.4,5.1,6.5,22,1,married,STUDENT,0
4.1,5.4,4.2,5.4,49,5,single,STUDENT,0
8.1,6.0,6.6,7.6,35,5,single,STUDENT,0
6.2,6.9,5.7,6.2,53,1,single,STUDENT,1
5.1,5.9,7.5,8.6,50,5,married,WORK,0
8.0,6.0,5.9,5.4,30,5,married,WORK,0
6.6,6.8,7.3,6.5,56,7,divorced,STUDENT,0
6.8,6.1,7.6,7.2,56,4,married,WORK,0
6.9,7.4,7.4,6.3,49,1,single,WORK,1
6.8,8.3,6.9,6.9,33,0,single,STUDENT,1
6.3,7.9,6.8,6.2,32,2,single,STUDENT,1
5.6,5.8,6.5,5.9,57,3,married,STUDENT,0
6.5,6.9,6.8,6.5,37,7,married,WORK,0
5.7,6.4,7.2,8.0,21,2,single,STUDENT,1
7.1,6.3,7.6,6.1,26,3,married,STUDENT,0
4.8,8.3,7.7,9.0,56,7,single,STUDENT,0
7.6,8.0,5.8,7.0,26,6,married,STUDENT,0
6.7,6.8,8.2,7.6,53,1,married,WORK,1
6.4,5.3,5.5,7.4,25,7,single,WORK,0
6.1,5.1,6.5,7.4,32,7,single,STUDENT,0
7.7,6.1,7.6,7.1,55,0,single,WORK,1
5.1,7.6,5.7,5.9,30,2,married,DEPENDENT,1
7.5,7.0,7.2,7.3,23,7,single,STUDENT,0
5.5,4.5,6.8,4.9,23,0,married,WORK,0
7.2,6.2,6.0,7.1,55,7,married,DEPENDENT,1
8.9,5.3,5.4,5.3,52,3,married,DEPENDENT,1
6.3,6.5,6.3,6.0,39,5,single,WORK,0
5.5,7.6,6.5,5.4,52,2,married,DEPENDENT,1
8.1,8.3,8.3,6.0,42,3,married,DEPENDENT,1
5.0,5.1,8.0,7.9,22,2,single,DEPENDENT,0
6.4,7.6,6.5,7.2,49,2,married,STUDENT,1
6.7,7.2,6.7,6.0,42,0,single,STUDENT,1
7.3,7.1,5.2,6.1,39,5,married,WORK,0
6.3,5.2,8.4,6.0,55,2,married,STUDENT,1
6.7,7.5,6.9,7.5,43,2,married,DEPENDENT,1
5.7,6.4,7.4,6.8,33,5,married,STUDENT,0
7.1,5.7,7.4,5.9,52,2,single,STUDENT,1
6.8,6.6,7.7,6.4,47,5,single,DEPENDENT,0
6.3,5.8,6.3,5.0,55,7,single,STUDENT,0
4.8,6.0,5.9,7.6,25,4,single,STUDENT,0
5.7,5.2,6.0,6.7,54,1,married,STUDENT,0
7.4,6.1,4.6,6.3,45,5,married,STUDENT,0
6.7,9.0,6.8,5.5,40,0,single,STUDENT,1
8.0,5.8,5.6,5.1,39,4,single,DEPENDENT,0
6.7,5.5,6.5,6.1,30,7,married,WORK,0
7.6,7.8,6.7,6.2,33,6,married,WORK,0
7.4,6.5,8.2,6.6,43,5,married,STUDENT,0
4.4,7.4,5.6,6.9,55,7,single,STUDENT,0
5.9,6.0,6.0,7.3,55,7,married,STUDENT,0
5.8,7.3,7.7,5.6,46,6,single,STUDENT,0
9.0,8.8,8.0,7.0,59,1,single,DEPENDENT,0
5.7,5.6,5.1,6.7,41,1,single,STUDENT,0
6.6,7.1,7.2,7.5,19,5,single,DEPENDENT,0
7.7,6.1,5.9,5.4,57,2,married,WORK,0
7.0,9.0,4.4,8.2,18,3,single,DEPENDENT,0
5.9,6.8,5.0,7.3,29,0,married,STUDENT,1
6.6,5.9,5.3,7.1,46,4,married,STUDENT,0
5.9,6.3,8.0,6.6,52,2,single,DEPENDENT,0
6.6,6.8,6.4,6.7,34,5,married,STUDENT,0
6.8,7.0,5.5,5.5,30,3,married,STUDENT,0
5.7,4.6,5.8,7.4,57,7,single,WORK,0
7.5,6.0,7.1,6.3,44,0,single,STUDENT,1
5.6,5.2,7.3,6.4,20,1,single,WORK,0
6.8,7.2,5.7,5.9,41,4,single,STUDENT,0
6.3,8.0,6.1,7.1,51,6,married,DEPENDENT,1
6.2,7.1,5.4,7.4,42,1,single,DEPENDENT,0
7.7,6.2,6.9,5.9,50,3,single,STUDENT,0
7.3,4.9,5.3,6.3,22,5,married,STUDENT,0
7.4,7.8,8.4,7.3,20,7,single,STUDENT,0
6.4,6.6,5.4,8.9,55,4,single,STUDENT,0
7.2,7.5,7.5,6.8,29,6,single,DEPENDENT,0
6.8,6.3,4.6,5.6,48,3,single,WORK,0
5.4,6.7,7.1,6.8,32,0,single,WORK,1
6.0,6.9,6.6,5.9,30,0,married,DEPENDENT,1
6.6,7.3,6.2,6.2,32,5,married,STUDENT,0
5.6,5.8,6.4,5.7,51,1,married,WORK,0
